STN,YYYYMMDD,   RD
664,18820912,105
664,18820913,275
664,18820914,35
664,18820915,25
664,18820916,0
664,18820917,0
664,18820918,40
664,18820919,125
664,18820920,20
664,18820921,0
664,18820922,18
664,18820923,10
664,18820924,5
664,18820925,0
664,18820926,0
664,18820927,0
664,18820928,10
664,18820929,10
664,18820930,120
664,18821001,0
664,18821002,0
664,18821003,8
664,18821004,15
664,18821005,0
664,18821006,0
664,18821007,0
664,18821008,10
664,18821009,0
664,18821010,5
664,18821011,5
664,18821012,80
664,18821013,0
664,18821014,0
664,18821015,0
664,18821016,0
664,18821017,0
664,18821018,10
664,18821019,0
664,18821020,0
664,18821021,0
664,18821022,17
664,18821023,65
664,18821024,0
664,18821025,53
664,18821026,0
664,18821027,18
664,18821028,0
664,18821029,0
664,18821030,70
664,18821031,75
664,18821101,0
664,18821102,0
664,18821103,0
664,18821104,110
664,18821105,52
664,18821106,15
664,18821107,60
664,18821108,30
664,18821109,0
664,18821110,20
664,18821111,30
664,18821112,0
664,18821113,0
664,18821114,0
664,18821115,20
664,18821116,45
664,18821117,10
664,18821118,20
664,18821119,0
664,18821120,15
664,18821121,0
664,18821122,0
664,18821123,175
664,18821124,115
664,18821125,55
664,18821126,70
664,18821127,35
664,18821128,25
664,18821129,10
664,18821130,0
664,18821201,0
664,18821202,0
664,18821203,0
664,18821204,42
664,18821205,75
664,18821206,25
664,18821207,0
664,18821208,35
664,18821209,0
664,18821210,0
664,18821211,0
664,18821212,0
664,18821213,0
664,18821214,0
664,18821215,18
664,18821216,20
664,18821217,0
664,18821218,0
664,18821219,0
664,18821220,0
664,18821221,0
664,18821222,75
664,18821223,5
664,18821224,20
664,18821225,0
664,18821226,40
664,18821227,65
664,18821228,55
664,18821229,20
664,18821230,52
664,18821231,115
664,18830101,22
664,18830102,25
664,18830103,85
664,18830104,0
664,18830105,0
664,18830106,0
664,18830107,3
664,18830108,0
664,18830109,0
664,18830110,0
664,18830111,0
664,18830112,0
664,18830113,0
