"Depth" "AirTemp" "WaterTemp"
"3435" 0 16.6883 16.67968
"3436" 1 16.6883 16.61542
"3437" 2.5 16.6883 16.51917
"3438" 5 16.6883 16.35846
"3439" 7.5 16.6883 13.99398
"3469" 0 16.2532 16.73702
"3470" 1 16.2532 16.68092
"3471" 2.5 16.2532 16.59669
"3472" 5 16.2532 16.45647
"3473" 7.5 16.2532 13.47616
"3503" 0 16.7016 18.34339
"3504" 1 16.7016 18.30923
"3505" 2.5 16.7016 18.25806
"3506" 5 16.7016 18.1726
"3507" 7.5 16.7016 15.93688
"3537" 0 15.445 17.76031
"3538" 1 15.445 17.75799
"3539" 2.5 15.445 17.75464
"3540" 5 15.445 17.74872
"3541" 7.5 15.445 16.99776
"3571" 0 10.4242 12.72437
"3572" 1 10.4242 12.72603
"3573" 2.5 10.4242 12.72952
"3574" 5 10.4242 12.73268
"3575" 7.5 10.4242 12.77814
"3605" 0 5.16 10.21362
"3606" 1 5.16 10.22243
"3607" 2.5 5.16 10.23979
"3608" 5 5.16 10.25765
"3609" 7.5 5.16 10.29413
"3639" 0 3.1113 6.986876
"3640" 1 3.1113 6.986425
"3641" 2.5 3.1113 6.986903
"3642" 5 3.1113 6.98462
"3643" 7.5 3.1113 6.981738
"3673" 0 -0.0161 4.99809
"3674" 1 -0.0161 4.987565
"3675" 2.5 -0.0161 4.975397
"3676" 5 -0.0161 4.945465
"3677" 7.5 -0.0161 4.92573
"3707" 0 0.9286 4.381349
"3708" 1 0.9286 4.390258
"3709" 2.5 0.9286 4.404952
"3710" 5 0.9286 4.425897
"3711" 7.5 0.9286 4.439412
"3741" 0 2.8258 3.81938
"3742" 1 2.8258 3.798554
"3743" 2.5 2.8258 3.770709
"3744" 5 2.8258 3.71525
"3745" 7.5 2.8258 3.697557
"3775" 0 8.8983 7.665825
"3776" 1 8.8983 7.65593
"3777" 2.5 8.8983 7.64012
"3778" 5 8.8983 7.616354
"3779" 7.5 8.8983 7.160471
"3809" 0 12.4274 15.63655
"3810" 1 12.4274 15.26381
"3811" 2.5 12.4274 14.70471
"3812" 5 12.4274 13.77282
"3813" 7.5 12.4274 12.1058
"3843" 0 16.6717 19.26398
"3844" 1 16.6717 18.47229
