"AT" "WT00" "WT10" "WT25" "WT50" "WT75"
13.3067 16.63705 16.62848 16.61567 16.69466 16.7095
9.7935 13.30546 13.21441 13.07747 13.04374 12.97219
6.9667 9.151516 9.12747 9.091747 9.04561 9.036263
0.8919 6.496361 6.506336 6.525975 6.543788 6.578388
0.129 4.934276 4.935617 4.941821 4.919517 4.898624
6.1107 5.351669 5.255024 5.110421 4.876254 4.651126
7.7403 7.431747 7.215127 6.890163 6.034942 5.64574
12.515 11.51588 11.44563 11.34029 9.492983 8.189153
12.2081 11.18559 11.09529 10.95984 11.03154 9.488023
17.2683 18.51767 18.24434 17.83433 16.07843 13.49945
17.2597 23.96326 23.76742 23.47365 19.8083 16.61462
17.7823 22.09273 22.0511 21.98865 20.01571 19.25364
18.9967 21.65172 21.58106 21.47507 19.89037 19.8736
11.4919 16.83929 16.84051 16.84235 16.86989 16.78523
4.43 10.44394 10.47555 10.52296 10.61831 10.6144
1.3758 7.072648 7.132089 7.22125 7.376665 7.364982
2.0048 4.874212 4.852155 4.81907 4.738121 4.652147
0.6089 4.164139 4.183033 4.211374 4.242736 4.279795
1.9565 3.963369 3.976823 3.997005 4.034953 4.071791
9.6133 10.83687 10.24864 9.366288 7.294004 5.140408
11.3952 11.50155 11.36496 11.16007 10.67767 10.07175
15.8783 14.75791 14.72377 14.67257 14.55372 14.24754
17.7129 18.45814 18.37558 18.25175 17.9419 17.49072
19.529 23.16681 23.07249 22.93107 22.23944 19.81944
14.7333 19.72526 19.74255 19.76823 19.31419 16.76415
10.5129 14.63584 14.53699 14.38899 14.68391 14.36686
2.6267 10.05 10.03124 10.00184 10.02358 10.15129
-3.1161 5.003387 5.0321 5.100593 5.252899 5.3811
-5.5645 2.664619 2.779214 2.861887 2.920773 2.986901
-3.2339 0.06327046 0.3915572 0.6703749 0.863852 0.9687518
4.1565 3.374953 3.221207 2.976238 2.533859 2.397842
10.07 8.416501 7.710481 6.660392 5.31777 4.74735
12.3887 12.56962 12.33359 11.97908 11.45783 10.4422
16.715 17.39205 16.78503 15.87485 12.46153 9.732372
19.471 21.85595 21.68367 21.42518 18.82818 15.80134
17.0565 21.16543 21.19624 21.24246 20.88602 20.05112
15.4317 17.01829 16.97974 16.9219 16.84228 16.67027
9.8323 14.19625 14.15393 14.09052 14.0684 14.07156
8.115 10.69419 10.66382 10.61812 10.54302 10.54089
-2.4935 6.574853 6.597892 6.633623 6.697164 6.717635
-2.8935 3.827436 3.858942 3.910827 3.949063 4.016271
2.7103 3.183187 3.221995 3.281503 3.305878 3.339417
3.2 3.784043 3.781554 3.777751 3.650842 3.657449
10.3533 7.714401 7.617423 7.471969 5.36063 5.054882
14.9161 12.88019 12.79372 12.66402 11.51618 8.658994
18.01 20.30159 20.20645 20.06375 19.54519 15.89414
20.4452 21.17331 21.14834 21.11089 19.96831 19.78033
17.7081 20.81775 20.77854 20.71972 20.2258 19.28947
15.3933 18.17311 18.22088 18.29252 18.32361 18.46758
8.1855 13.95371 13.95661 13.96097 14.04877 14.06789
5.42 8.910374 8.91764 8.928541 8.948469 8.973673
-0.171 6.028835 6.062799 6.113746 6.201295 6.340717
1.3226 4.733766 4.737758 4.743746 4.757428 4.825462
-1.9607 3.230146 3.260025 3.304842 3.377977 3.468517
4.7258 3.652451 3.663281 3.679527 3.708569 3.698872
7.505 4.93788 4.955455 4.981817 4.999384 4.986704
12.321 10.98355 10.72431 10.33544 9.604769 9.120039
16.9617 16.1474 15.8902 15.5044 13.47345 12.49969
16.9726 18.36448 18.25769 18.0975 17.54177 16.9434
17.0403 19.8912 19.87569 19.85242 19.86007 19.08023
13.2433 16.27668 16.28491 16.29726 16.29244 16.1278
9.5484 12.98149 13.05231 13.15853 13.28366 13.16957
3.6733 9.495307 9.503777 9.516482 9.49705 9.447554
3.0097 5.910057 5.946375 6.000853 6.089516 6.187978
-1.9242 4.30906 4.351893 4.416141 4.502578 4.577884
6.5714 4.64789 4.624143 4.588521 4.557241 4.464541
4.4903 5.106438 5.139722 5.189647 5.220266 5.047896
10.9483 9.751239 9.343696 8.732382 8.169767 7.555781
14.0468 18.00942 17.09934 15.73421 14.8879 13.7806
17.6917 19.44475 19.21249 18.86409 18.70369 18.11923
16.671 19.80032 19.64991 19.42431 17.94727 16.93907
16.2758 18.90571 18.8043 18.65219 18.68093 18.13783
16.125 17.54757 17.50472 17.44045 17.4149 17.87296
12.9919 16.19184 16.14768 16.08145 15.92303 13.65665
2.9133 10.3286 10.33313 10.33993 10.39756 9.338898
2.1323 6.264292 6.254185 6.239025 6.206423 6.329346
0.7581 4.74206 4.737396 4.730401 4.720833 4.731144
3.3214 4.103283 4.301061 4.597728 4.972494 4.678674
6.6871 4.198903 4.515273 4.989828 5.589439 5.160115
8.035 9.079791 8.204758 6.892208 4.501187 5.33991
13.3806 14.01487 13.83869 13.57441 10.30094 9.182446
15.6667 16.96803 16.36454 15.45931 15.19096 14.5937
20.4871 22.80111 21.96494 20.71068 19.88092 17.43242
18.179 20.13657 20.03491 19.88242 19.75552 19.46733
14.6933 16.94615 16.94268 16.93746 16.97126 16.88623
13.3903 15.47668 15.44932 15.40828 15.44456 15.1355
4.6717 11.08477 11.08674 11.08969 10.99167 10.97759
-0.6726 6.783975 6.800242 6.824642 6.86534 6.854123
-0.4597 4.598624 4.668512 4.773345 4.799804 4.792071
2.5759 3.696598 3.744217 3.815646 3.899385 3.897802
5.6984 4.146795 4.075447 3.968425 4.299097 3.938597
10.57 12.04652 11.86682 11.59727 8.836602 7.721614
12.7161 13.68911 13.45632 13.10714 12.45749 11.14429
16.6567 16.69263 16.55383 16.34562 16.07755 15.12411
17.9758 19.31653 19.29757 19.26914 19.15497 18.13818
16.6548 18.13447 18.03545 17.88693 17.87043 17.52562
14.2217 17.79772 17.77863 17.74999 17.72525 17.71453
12.0903 14.87778 14.87992 14.88313 14.9727 14.79897
4.3333 9.622372 9.620677 9.618135 9.634761 9.59537
-0.6806 6.064352 6.066553 6.069853 6.056532 6.156277
0.7065 4.518572 4.517649 4.516264 4.515352 4.594423
-0.0446 3.999567 3.998167 3.996067 3.991443 4.005238
4.579 4.070513 4.099326 4.142544 4.218848 4.222113
8.2017 5.916115 5.809992 5.650807 5.422009 5.454012
14.5565 15.13018 14.31925 13.10284 11.47399 11.22038
14.505 16.11343 16.0943 16.06559 15.7683 13.47499
19.4226 21.56076 21.68799 21.87884 20.18352 16.52195
17.2742 20.82972 20.77958 20.70435 19.88684 16.99558
15.9917 17.76455 17.85385 17.9878 17.96226 16.89937
11.2242 15.18858 15.20085 15.21924 15.3697 15.31541
5.5583 10.29489 10.26541 10.22119 10.22656 10.17507
-3.6371 6.253039 6.131641 5.949543 5.946578 6.1045
-0.2419 4.223014 4.199766 4.164892 4.161813 4.283338
