"year" "month" "temp"
1955 11 6.8
1955 12 4.8
1956 1 2.2
1956 2 -6.4
1956 3 5.7
1956 4 5.9
1956 5 12.2
1956 6 12.8
1956 7 16.2
1956 8 14.2
1956 9 14.9
1956 10 9.9
1956 11 5.2
1956 12 5.3
1957 1 3.6
1957 2 5
1957 3 8.3
1957 4 8.6
1957 5 10
1957 6 15.9
1957 7 17.3
1957 8 15.4
1957 9 12.6
1957 10 10.6
1957 11 6.3
1957 12 3.1
1958 1 2.2
1958 2 3.8
1958 3 2.2
1958 4 6.3
1958 5 12
1958 6 14.4
1958 7 16.4
1958 8 17
1958 9 15.5
1958 10 10.8
1958 11 4.8
1958 12 4.5
1959 1 1.6
1959 2 0.7
1959 3 6.8
1959 4 9.6
1959 5 13.1
1959 6 16
1959 7 18.3
1959 8 17.6
1959 9 15.4
1959 10 11.2
1959 11 4.9
1959 12 4.1
1960 1 2.5
1960 2 2.9
1960 3 5.7
1960 4 9
1960 5 12.8
1960 6 16.1
1960 7 15.2
1960 8 15.6
1960 9 13.5
1960 10 10.7
1960 11 7.4
1960 12 3.2
1961 1 2
1961 2 5.9
1961 3 7.1
1961 4 10.4
1961 5 10.9
1961 6 15.5
1961 7 15.4
1961 8 15.8
1961 9 16.4
1961 10 11.2
1961 11 4.7
1961 12 1.7
1962 1 3.5
1962 2 2.8
1962 3 2
1962 4 7.8
1962 5 9.6
1962 6 14
1962 7 15
1962 8 15.2
1962 9 13
1962 10 10.8
1962 11 4.3
1962 12 -0.7
1963 1 -5.3
1963 2 -3.4
1963 3 4.2
1963 4 8.9
1963 5 11
1963 6 15.7
1963 7 16.4
1963 8 15.4
1963 9 14
1963 10 9.7
1963 11 8.5
1963 12 -1
1964 1 0.7
1964 2 3.5
1964 3 2.6
1964 4 8.6
1964 5 14.1
1964 6 15.1
1964 7 16.5
1964 8 15.7
1964 9 13.8
1964 10 7.6
1964 11 6.1
1964 12 2.2
1965 1 2.5
1965 2 2
1965 3 4.3
1965 4 7.6
1965 5 11.8
1965 6 14.7
1965 7 14.8
1965 8 15
1965 9 12.5
1965 10 9.7
1965 11 2.7
1965 12 4.4
1966 1 0.4
1966 2 4.1
1966 3 5.1
1966 4 8.3
1966 5 12.9
1966 6 16.8
1966 7 15.6
1966 8 15.8
1966 9 13.8
1966 10 11.2
1966 11 4.3
1966 12 4.4
1967 1 3
1967 2 5.1
1967 3 6.7
1967 4 7.4
1967 5 12.7
1967 6 14.4
1967 7 18.1
1967 8 16.5
1967 9 14.2
1967 10 11.9
1967 11 5.1
1967 12 3.4
1968 1 2.2
1968 2 1.4
1968 3 6
1968 4 9.1
1968 5 10.8
1968 6 15.2
1968 7 16.2
1968 8 17
1968 9 14.4
1968 10 11.8
1968 11 5.2
1968 12 0
1969 1 4.6
1969 2 0.2
1969 3 2.5
1969 4 8.1
1969 5 13.1
1969 6 15.5
1969 7 18.5
1969 8 18.1
1969 9 15.3
1969 10 13
1969 11 6.7
1969 12 -1.4
1970 1 0.6
1970 2 1.1
1970 3 3.2
1970 4 6.1
1970 5 13
1970 6 17.5
1970 7 15.7
1970 8 16.8
1970 9 14.2
1970 10 10.6
1970 11 7.4
1970 12 2.4
1971 1 2.3
1971 2 3.8
1971 3 2.7
1971 4 8.1
1971 5 13.7
1971 6 13.9
1971 7 17.2
1971 8 17.1
1971 9 13.3
1971 10 10.5
1971 11 5.7
1971 12 5.4
1972 1 0.5
1972 2 3.6
1972 3 6.2
1972 4 7.7
1972 5 11.8
1972 6 13.4
1972 7 17.2
1972 8 15.5
1972 9 11.9
1972 10 9
1972 11 6
1972 12 3.3
1973 1 2.9
1973 2 2.9
1973 3 5.3
1973 4 6.1
1973 5 12
1973 6 16
1973 7 17
1973 8 17.7
1973 9 14.9
1973 10 8.7
1973 11 5.1
1973 12 2.7
1974 1 5.2
1974 2 4.6
1974 3 5.6
1974 4 9.1
1974 5 11.6
1974 6 14.8
